content,score,source,app
"This is a fraud app. One of my friend subscribed it but she got cheated. the representative of this platform misguides her. they told that live class will be in Hindi but notes are in English. however, after the subscription she couldn't able to download English notes. Whn she has contacted with the representatives they told unacademy will not provide any note in English version.",1,PlayStore,Unacademy
actually the app is not working well ❤️‍🩹,1,PlayStore,Unacademy
Worst app doesn't working.,1,PlayStore,Unacademy
thik hai or achcha hai,5,PlayStore,Unacademy
it's so helpful 💯👌thank you good job 🙏🙏,5,PlayStore,Unacademy
good 👍👍👍👍👍👍,5,PlayStore,Unacademy
good 👍 teacher love you,5,PlayStore,Unacademy
"ICONIC MEMBERSHIP IS TOTALLY USELESS. and no personal attention is given , any mentor is not active and support system just talk don't work at all.",1,PlayStore,Unacademy
The interface is very bad,1,PlayStore,Unacademy
Teachers Best but App interface waste of time My request to App developer & Coaching ower Please improve your App UI/UX other wise Company Close Just like byju's. I hope you improve your app interface,3,PlayStore,Unacademy
too much frustrated they call you continuously used different numbers and you said no after they understand and wastes your energy I'm too much stressed because they irritated or continue calling me 😭😭 please Stop calling I'm already in bad condition,1,PlayStore,Unacademy
wastage of time,1,PlayStore,Unacademy
very very poor service I would request not to join this . they don't listen to your problems even after being a huge amount. in the test always the questions come from out of syllabus.,1,PlayStore,Unacademy
top class faculty with most helpful staff,5,PlayStore,Unacademy
"psir,my favourite subject but i am confused in selction of my optional subject, i chat with my senoir then i opt it.",4,PlayStore,Unacademy
not good,1,PlayStore,Unacademy
any platform of learning is best so this platforms is also best,5,PlayStore,Unacademy
excellent,5,PlayStore,Unacademy
very bad experience in this class Hadapsar Centre are very bad don't understand the situation of parents i paid 31000 and he not refund my money and say company are not refund you and go and complete in police station we don't care not contact us not recieved a call,1,PlayStore,Unacademy
"Everything good except english biology teacher-Her focus level is zero lux—we’re in the dark more than chloroplasts at midnight, Every time she explains something, the mitochondria lose their will to be the powerhouse💀",1,PlayStore,Unacademy
this app isn't work well. and my studies are on hold cause of this.,1,PlayStore,Unacademy
nice app but teachers don't teach infront of a black board they share a screen and teach which is very distracting sone time thir networks doesn't work so it causes prblms i joined it for my class 11 and only commerce and English teacher was nice accounts teacher makes the study vey confusing and the economic mam is also very bad at explaining I'm regretting of buying a 1 year plan total waste of money I will definitely not buy it in my class 12,1,PlayStore,Unacademy
best teacher,5,PlayStore,Unacademy
fabulous,5,PlayStore,Unacademy
nice education nice educators,5,PlayStore,Unacademy
loss of 45000 money so be careful no use teacher are just faltu,1,PlayStore,Unacademy
Worst app,1,PlayStore,Unacademy
👍,5,PlayStore,Unacademy
Nice educator,3,PlayStore,Unacademy
