app,userName,at,score,title,content
Unacademy,Polash Lahan,,3,Best educators in a glitchy platform.,Support team and technical team are of words only…i face glitches on my ios device..i told them…didnt even show concern..just like pointing towards me..this kind of behaviour they have is the biggest problem..
Unacademy,Unacademy.com,,1,Bad app,Wastes of money not give proper classes
Unacademy,Students of Clat UG,,1,The Unprofessional Behaviour towards students even after paying extra.,"I am an Unacademy iconic subscription holder for last two months even don’t no how to get access to tests class notes and very important how much groups of an educator have which I have to join and also where they are on discord telegram WhatsApp or on any other. Kindly work on it and also please let me know solutions to the problems.
Regards 
A worried Student (worries for future)."
Unacademy,R@HUL 92,,1,Biology Ke Doubt Teacher Ko Kuch Nahi Aata 👎🏻👎🏻,Biology Ke Doubt Teacher (Abhishek Agnihotri) Ko Kuch Nahi Aata 👎🏻👎🏻
Unacademy,Aziz khan Sherani,,1,What faculty You provide when I buy your iconic subscription,I bought iconic subscription on 13 may 2025 but I didn’t receive Books yet it’s 23 July when I was buying this subscription your then your team told me we provide books within 7 days but I didn’t receive yet
Unacademy,Subhname,,1,Responsibility zero,"After taking the subscription, they don’t even pick up the calls, nor do they solve your issues"
Unacademy,Abhinav Mangal,,3,The only reason to give 3 stars,The teachers on Unacademy are so much good but the app crashes many time and not working properly and no proper customer support I give 3 stars for the teacher
Unacademy,Soham360,,2,Relentless Customer Service Calls,"I have been using academy since start of 2025. Although the teaching is good, their customer service will call you relentlessly, often ranging from 3-4 calls every day and even at night around 10-11. They will always call from different numbers hence cant even block them out. I am utterly disappointed."
Unacademy,Unsatisfactory response,,2,Not usefull,It will almost be a month since i am an iconic (paid user) of unacademy for ca but they are not at all looking into my complaints and issues regarding mentor i have raised 3 tickets yet the problem is unresolved
Unacademy,A service userr,,1,They literally harassing for money,"Ye log offer bolkar full information nahi dete hain, they hide full information about payment and later they literally harassing students for money"
Unacademy,Milan Jolly,,1,Biased content against India and Hindus,This platform supports Invasion stories and has extremely biased content in its history textbooks.
Unacademy,Unfair_Capitalist,,3,Fix navigational button padding,"Not able to navigate properly within the app 
The back button is in the top information bar"
Unacademy,Flawless~Sid,,1,Think before buying subscription on this platform,"I have enrolled in Unacademy just because of CSG Sir, but the Unacademy app services are totally trash. I have purchased iconic subscription which includes mentorship and book, but it’s been more than three months. I haven’t received any of my books yet and there are mentorship services totally trash because all the mentors on all 365 days are busy, there is not a single slot available to tell your problem and share experience regarding the Unacademy app so if you are joining Unacademy, just get ready for the inevitable suffering and anxiety, and if you have to purchase a batch purchase their plus batch, don’t purchase the iconic"
Unacademy,MLGahja,,2,.,"The promotional team keeps calling once in every hour.
They don’t even have the sense of time.
Why would you call someone to sell your classes after 10pm?
No work ethics.

But when you need to get some technical problem fixed, you can only mail them which they will reply 24-48 hours later.

Enough money to sell your courses but not to fix issues????"
Unacademy,Subh2k,,1,Lagging in iOS environment,Too much bugs.
Unacademy,Kumarkvz,,1,Poor app,Aap toh bhot bekar hai. Kabhi koi cheez website pe nahi khulti toh kabhi app pe
Unacademy,Utkuone,,5,Best Education App,India best educator are available in this platform they make big contributions in planning structure and perfect timing schedule for Mine upsc preparation
Unacademy,Virendra shivnandan patil,,1,Subcription lecture issue,I am using iphone 11 i have unacademy ofline centre subcription now i shift on ios so i can't see lectures on app  pls fix this problem
