content,score,source,app,clean_review
"This is a fraud app. One of my friend subscribed it but she got cheated. the representative of this platform misguides her. they told that live class will be in Hindi but notes are in English. however, after the subscription she couldn't able to download English notes. Whn she has contacted with the representatives they told unacademy will not provide any note in English version.",1,PlayStore,Unacademy,this is a fraud app one of my friend subscribed it but she got cheated the representative of this platform misguides her they told that live class will be in hindi but notes are in english however after the subscription she couldnt able to download english notes whn she has contacted with the representatives they told unacademy will not provide any note in english version
actually the app is not working well ❤️‍🩹,1,PlayStore,Unacademy,actually the app is not working well 
Worst app doesn't working.,1,PlayStore,Unacademy,worst app doesnt working
thik hai or achcha hai,5,PlayStore,Unacademy,thik hai or achcha hai
it's so helpful 💯👌thank you good job 🙏🙏,5,PlayStore,Unacademy,its so helpful thank you good job 
good 👍👍👍👍👍👍,5,PlayStore,Unacademy,good 
good 👍 teacher love you,5,PlayStore,Unacademy,good  teacher love you
"ICONIC MEMBERSHIP IS TOTALLY USELESS. and no personal attention is given , any mentor is not active and support system just talk don't work at all.",1,PlayStore,Unacademy,iconic membership is totally useless and no personal attention is given  any mentor is not active and support system just talk dont work at all
The interface is very bad,1,PlayStore,Unacademy,the interface is very bad
Teachers Best but App interface waste of time My request to App developer & Coaching ower Please improve your App UI/UX other wise Company Close Just like byju's. I hope you improve your app interface,3,PlayStore,Unacademy,teachers best but app interface waste of time my request to app developer  coaching ower please improve your app uiux other wise company close just like byjus i hope you improve your app interface
too much frustrated they call you continuously used different numbers and you said no after they understand and wastes your energy I'm too much stressed because they irritated or continue calling me 😭😭 please Stop calling I'm already in bad condition,1,PlayStore,Unacademy,too much frustrated they call you continuously used different numbers and you said no after they understand and wastes your energy im too much stressed because they irritated or continue calling me  please stop calling im already in bad condition
wastage of time,1,PlayStore,Unacademy,wastage of time
very very poor service I would request not to join this . they don't listen to your problems even after being a huge amount. in the test always the questions come from out of syllabus.,1,PlayStore,Unacademy,very very poor service i would request not to join this  they dont listen to your problems even after being a huge amount in the test always the questions come from out of syllabus
top class faculty with most helpful staff,5,PlayStore,Unacademy,top class faculty with most helpful staff
"psir,my favourite subject but i am confused in selction of my optional subject, i chat with my senoir then i opt it.",4,PlayStore,Unacademy,psirmy favourite subject but i am confused in selction of my optional subject i chat with my senoir then i opt it
any platform of learning is best so this platforms is also best,5,PlayStore,Unacademy,any platform of learning is best so this platforms is also best
very bad experience in this class Hadapsar Centre are very bad don't understand the situation of parents i paid 31000 and he not refund my money and say company are not refund you and go and complete in police station we don't care not contact us not recieved a call,1,PlayStore,Unacademy,very bad experience in this class hadapsar centre are very bad dont understand the situation of parents i paid  and he not refund my money and say company are not refund you and go and complete in police station we dont care not contact us not recieved a call
"Everything good except english biology teacher-Her focus level is zero lux—we’re in the dark more than chloroplasts at midnight, Every time she explains something, the mitochondria lose their will to be the powerhouse💀",1,PlayStore,Unacademy,everything good except english biology teacherher focus level is zero luxwere in the dark more than chloroplasts at midnight every time she explains something the mitochondria lose their will to be the powerhouse
this app isn't work well. and my studies are on hold cause of this.,1,PlayStore,Unacademy,this app isnt work well and my studies are on hold cause of this
nice app but teachers don't teach infront of a black board they share a screen and teach which is very distracting sone time thir networks doesn't work so it causes prblms i joined it for my class 11 and only commerce and English teacher was nice accounts teacher makes the study vey confusing and the economic mam is also very bad at explaining I'm regretting of buying a 1 year plan total waste of money I will definitely not buy it in my class 12,1,PlayStore,Unacademy,nice app but teachers dont teach infront of a black board they share a screen and teach which is very distracting sone time thir networks doesnt work so it causes prblms i joined it for my class  and only commerce and english teacher was nice accounts teacher makes the study vey confusing and the economic mam is also very bad at explaining im regretting of buying a  year plan total waste of money i will definitely not buy it in my class 
best teacher,5,PlayStore,Unacademy,best teacher
nice education nice educators,5,PlayStore,Unacademy,nice education nice educators
loss of 45000 money so be careful no use teacher are just faltu,1,PlayStore,Unacademy,loss of  money so be careful no use teacher are just faltu
Nice educator,3,PlayStore,Unacademy,nice educator
"The best app for JEE preparation I'm writing it one star because of the team which is not responding because of some problems I'm facing.after the classes switched to boards i am not able to live lectures on my iPad,but phone(android) i am able to attend.There's is no problem my end because the device is brand new and my wifi speed is at least more than 30mbps.so please help with this query",1,PlayStore,Unacademy,the best app for jee preparation im writing it one star because of the team which is not responding because of some problems im facingafter the classes switched to boards i am not able to live lectures on my ipadbut phoneandroid i am able to attendtheres is no problem my end because the device is brand new and my wifi speed is at least more than mbpsso please help with this query
"worst app ever, subscription ke liye sahi se guide nhi karte , mujhe plus kaa subscription Lena the aur yeh logo ne mujhe normal batch ka subscription dilwa diya ,with same price,ab mai kya karu , mujhe Insaaf chahiye",1,PlayStore,Unacademy,worst app ever subscription ke liye sahi se guide nhi karte  mujhe plus kaa subscription lena the aur yeh logo ne mujhe normal batch ka subscription dilwa diya with same priceab mai kya karu  mujhe insaaf chahiye
Good application for the students 😃,5,PlayStore,Unacademy,good application for the students 
good inner me atmkbfjg🙏🤩🤩👌👌👌,5,PlayStore,Unacademy,good inner me atmkbfjg
"hi , unacademy pls don't spam if I just login on your app. , and follow some corporate ethics and don't disturb aspirants , why do you call me daily",1,PlayStore,Unacademy,hi  unacademy pls dont spam if i just login on your app  and follow some corporate ethics and dont disturb aspirants  why do you call me daily
Best learning app for upsc exam.,5,PlayStore,Unacademy,best learning app for upsc exam
very bad app not working on my tablet,1,PlayStore,Unacademy,very bad app not working on my tablet
very good learning aap thanks 👍,5,PlayStore,Unacademy,very good learning aap thanks 
very rude and irresponsible behaviour of helpline care,1,PlayStore,Unacademy,very rude and irresponsible behaviour of helpline care
Nice Plateform,5,PlayStore,Unacademy,nice plateform
"The tech team should be fired. No doubt, Unacademy has great teachers, but there are tons of tech issues during live classes. Please do not waste your time and money on Unacademy courses. The app is useless. I wish I could rate it even lower. Now I understand why there are so many one-star ratings. All I can say to my juniors is please do not get any kind of subscription from Unacademy ,go for other education apps. I'm 100% sure that every time you open Unacademy, you will find it even worse.",1,PlayStore,Unacademy,the tech team should be fired no doubt unacademy has great teachers but there are tons of tech issues during live classes please do not waste your time and money on unacademy courses the app is useless i wish i could rate it even lower now i understand why there are so many onestar ratings all i can say to my juniors is please do not get any kind of subscription from unacademy go for other education apps im  sure that every time you open unacademy you will find it even worse
yes yes good,5,PlayStore,Unacademy,yes yes good
