content,score,source,app,clean_review,sentiment_score,sentiment_label,cluster
"This is a fraud app. One of my friend subscribed it but she got cheated. the representative of this platform misguides her. they told that live class will be in Hindi but notes are in English. however, after the subscription she couldn't able to download English notes. Whn she has contacted with the representatives they told unacademy will not provide any note in English version.",1,PlayStore,Unacademy,this is a fraud app one of my friend subscribed it but she got cheated the representative of this platform misguides her they told that live class will be in hindi but notes are in english however after the subscription she couldnt able to download english notes whn she has contacted with the representatives they told unacademy will not provide any note in english version,-0.6956,Negative,2
actually the app is not working well ❤️‍🩹,1,PlayStore,Unacademy,actually the app is not working well ,-0.2057,Negative,2
Worst app doesn't working.,1,PlayStore,Unacademy,worst app doesnt working,-0.6249,Negative,3
"ICONIC MEMBERSHIP IS TOTALLY USELESS. and no personal attention is given , any mentor is not active and support system just talk don't work at all.",1,PlayStore,Unacademy,iconic membership is totally useless and no personal attention is given  any mentor is not active and support system just talk dont work at all,-0.8431,Negative,2
The interface is very bad,1,PlayStore,Unacademy,the interface is very bad,-0.5849,Negative,1
too much frustrated they call you continuously used different numbers and you said no after they understand and wastes your energy I'm too much stressed because they irritated or continue calling me 😭😭 please Stop calling I'm already in bad condition,1,PlayStore,Unacademy,too much frustrated they call you continuously used different numbers and you said no after they understand and wastes your energy im too much stressed because they irritated or continue calling me  please stop calling im already in bad condition,-0.9062,Negative,2
very very poor service I would request not to join this . they don't listen to your problems even after being a huge amount. in the test always the questions come from out of syllabus.,1,PlayStore,Unacademy,very very poor service i would request not to join this  they dont listen to your problems even after being a huge amount in the test always the questions come from out of syllabus,-0.7149,Negative,2
"psir,my favourite subject but i am confused in selction of my optional subject, i chat with my senoir then i opt it.",4,PlayStore,Unacademy,psirmy favourite subject but i am confused in selction of my optional subject i chat with my senoir then i opt it,-0.4497,Negative,2
very bad experience in this class Hadapsar Centre are very bad don't understand the situation of parents i paid 31000 and he not refund my money and say company are not refund you and go and complete in police station we don't care not contact us not recieved a call,1,PlayStore,Unacademy,very bad experience in this class hadapsar centre are very bad dont understand the situation of parents i paid  and he not refund my money and say company are not refund you and go and complete in police station we dont care not contact us not recieved a call,-0.8811,Negative,1
this app isn't work well. and my studies are on hold cause of this.,1,PlayStore,Unacademy,this app isnt work well and my studies are on hold cause of this,-0.2057,Negative,2
nice app but teachers don't teach infront of a black board they share a screen and teach which is very distracting sone time thir networks doesn't work so it causes prblms i joined it for my class 11 and only commerce and English teacher was nice accounts teacher makes the study vey confusing and the economic mam is also very bad at explaining I'm regretting of buying a 1 year plan total waste of money I will definitely not buy it in my class 12,1,PlayStore,Unacademy,nice app but teachers dont teach infront of a black board they share a screen and teach which is very distracting sone time thir networks doesnt work so it causes prblms i joined it for my class  and only commerce and english teacher was nice accounts teacher makes the study vey confusing and the economic mam is also very bad at explaining im regretting of buying a  year plan total waste of money i will definitely not buy it in my class ,-0.9173,Negative,2
loss of 45000 money so be careful no use teacher are just faltu,1,PlayStore,Unacademy,loss of  money so be careful no use teacher are just faltu,-0.4377,Negative,2
"worst app ever, subscription ke liye sahi se guide nhi karte , mujhe plus kaa subscription Lena the aur yeh logo ne mujhe normal batch ka subscription dilwa diya ,with same price,ab mai kya karu , mujhe Insaaf chahiye",1,PlayStore,Unacademy,worst app ever subscription ke liye sahi se guide nhi karte  mujhe plus kaa subscription lena the aur yeh logo ne mujhe normal batch ka subscription dilwa diya with same priceab mai kya karu  mujhe insaaf chahiye,-0.6249,Negative,2
very bad app not working on my tablet,1,PlayStore,Unacademy,very bad app not working on my tablet,-0.5849,Negative,1
very rude and irresponsible behaviour of helpline care,1,PlayStore,Unacademy,very rude and irresponsible behaviour of helpline care,-0.5034,Negative,2
totally worst experience.....educators are best but the app is worst one they call you constantly to purchase the batch but as soon as you purchase it evn it's not show they just give you one response to wait thn after constant txt from students side they don't reply nor they help what to do now ....,1,PlayStore,Unacademy,totally worst experienceeducators are best but the app is worst one they call you constantly to purchase the batch but as soon as you purchase it evn its not show they just give you one response to wait thn after constant txt from students side they dont reply nor they help what to do now ,-0.8771,Negative,3
waste app 🙄,1,PlayStore,Unacademy,waste app ,-0.4215,Negative,3
"hello guys if you think this app is so helpful then you are wrong specially I told NDA subscription, there are no any faculty of math,geography etc, and app feature are very bad first of all you have to spend 1 month for Understanding what are going on with you you have to join coursepage and if you don't know how to join corse page then you find where is class guys I told you only that never and never buy the Unacademy subscription",1,PlayStore,Unacademy,hello guys if you think this app is so helpful then you are wrong specially i told nda subscription there are no any faculty of mathgeography etc and app feature are very bad first of all you have to spend  month for understanding what are going on with you you have to join coursepage and if you dont know how to join corse page then you find where is class guys i told you only that never and never buy the unacademy subscription,-0.2679,Negative,2
"When I had to purchase the class they called me again and again and one of its team members told me that if I would get the subscription of 6 months I would get 3 months extended months along with 6 months and it will be credited after 45 days of purchase. But as I wouldn't get the extended months I called them again, they asked for 24 hours and then blocked my number. They made me wander to the app to email only. The worst service they hold. Poor experience.",1,PlayStore,Unacademy,when i had to purchase the class they called me again and again and one of its team members told me that if i would get the subscription of  months i would get  months extended months along with  months and it will be credited after  days of purchase but as i wouldnt get the extended months i called them again they asked for  hours and then blocked my number they made me wander to the app to email only the worst service they hold poor experience,-0.9052,Negative,2
bad experience,3,PlayStore,Unacademy,bad experience,-0.5423,Negative,1
Worst institute ever they lit.changed the best teachers no consistency lack of teachers . 4months left and they lit. Changed the head teacher of our jee section In gwalior center. For them study is just a business,4,PlayStore,Unacademy,worst institute ever they litchanged the best teachers no consistency lack of teachers  months left and they lit changed the head teacher of our jee section in gwalior center for them study is just a business,-0.5267,Negative,2
worst part of this app is they are calling continuously for their offers.. how can any one use their free access with this type of inconvenience.. so disturbing,1,PlayStore,Unacademy,worst part of this app is they are calling continuously for their offers how can any one use their free access with this type of inconvenience so disturbing,-0.8196,Negative,3
Worst application ever. Paid marketing karte hai for views and subscription.,1,PlayStore,Unacademy,worst application ever paid marketing karte hai for views and subscription,-0.6249,Negative,3
some classes are not showing still classes problem study is not going on properly do something,2,PlayStore,Unacademy,some classes are not showing still classes problem study is not going on properly do something,-0.4019,Negative,2
they're calling me again again and I unsubscribed from them still now they're calling me again again don't do this it irritating me don't u have any common sense at all don't repeat this again,1,PlayStore,Unacademy,theyre calling me again again and i unsubscribed from them still now theyre calling me again again dont do this it irritating me dont u have any common sense at all dont repeat this again,-0.4588,Negative,2
this app sucks pls dont downlonad it they will constantly harass you by callimg 10 to 15 times in a day and tell you to buy their course,1,PlayStore,Unacademy,this app sucks pls dont downlonad it they will constantly harass you by callimg  to  times in a day and tell you to buy their course,-0.6597,Negative,2
"enrolled for UPSC batch, the mobile application is very bad. it has lot of technical glitches. also if you complaint about the same to the technical staff at the center they act very unresponsive. They have no accountability towards solving your problems. They just ignore you or behave weirdly whenever you tell them about the issue.",1,PlayStore,Unacademy,enrolled for upsc batch the mobile application is very bad it has lot of technical glitches also if you complaint about the same to the technical staff at the center they act very unresponsive they have no accountability towards solving your problems they just ignore you or behave weirdly whenever you tell them about the issue,-0.9041,Negative,2
they fooled me their marketing person fooled me took money and now not responding written n number of emails to unacademy they are also not responding no they have not given any proper response only same response don't fool around,1,PlayStore,Unacademy,they fooled me their marketing person fooled me took money and now not responding written n number of emails to unacademy they are also not responding no they have not given any proper response only same response dont fool around,-0.2796,Negative,2
worst education app in india.....I purchased guarantee batch for neet 2026... but the batch is discontinued.....and our money is not refunded till now.....I suggest..... don't go with academy...,1,PlayStore,Unacademy,worst education app in indiai purchased guarantee batch for neet  but the batch is discontinuedand our money is not refunded till nowi suggest dont go with academy,-0.2617,Negative,3
I feel cheated. The Iconic pack which I purchased at 12.5k is actually offering only 8.5k. Fees should be same for all students at all times Iconic pack is useless. some teachers teach irregular topic.,1,PlayStore,Unacademy,i feel cheated the iconic pack which i purchased at k is actually offering only k fees should be same for all students at all times iconic pack is useless some teachers teach irregular topic,-0.7269,Negative,2
"when I login with my phone number, continue they are calling. please do not call again and again . it makes someone irritative and creates distrubance . I got moral that you should not give ur mobile number to any education application continue calls I'm receiving from morning I request to stop calls else I will block every unknown calls. it is making me more irritative",1,PlayStore,Unacademy,when i login with my phone number continue they are calling please do not call again and again  it makes someone irritative and creates distrubance  i got moral that you should not give ur mobile number to any education application continue calls im receiving from morning i request to stop calls else i will block every unknown calls it is making me more irritative,-0.7269,Negative,2
This is the worst app I have ever seen,1,PlayStore,Unacademy,this is the worst app i have ever seen,-0.6249,Negative,3
"Worst app . Worst Customer support. lackadaisical attitude of customer service . When a student going to pay money for batch , then are always there. but after the purchase, if you face any problem, you will not be entertained by them. They started giving baseless excuse. waste of money",1,PlayStore,Unacademy,worst app  worst customer support lackadaisical attitude of customer service  when a student going to pay money for batch  then are always there but after the purchase if you face any problem you will not be entertained by them they started giving baseless excuse waste of money,-0.8965,Negative,3
"I'm extremely disappointed with this app. They keep calling again and again, even after I clearly told them not to. Despite requesting multiple times to stop the calls, they continued. And the worst part? When I asked them firmly to stop, they blocked my ID without any explanation or warning. This is highly unprofessional. Not recommended at all. Please think twice before signing up.",1,PlayStore,Unacademy,im extremely disappointed with this app they keep calling again and again even after i clearly told them not to despite requesting multiple times to stop the calls they continued and the worst part when i asked them firmly to stop they blocked my id without any explanation or warning this is highly unprofessional not recommended at all please think twice before signing up,-0.9417,Negative,2
